,Algo,Kernal,depthORk,TrainSize,TestSize,NotDeleted,Deleted,Time,TrainingResult,TestResult,F1_SCORE,Accuracy,JaccardScore,PRECISION,RECALL,"0,0","0,1","1,0","1,1"
142,DecisionTree,entropy,3,338230,84558,,,3.360716343,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
143,DecisionTree,log_loss,3,338230,84558,,,3.316832781,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
144,DecisionTree,gini,3,338230,84558,,,2.876053572,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
145,DecisionTree,entropy,3,338230,84558,,,3.33634901,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
146,DecisionTree,log_loss,3,338230,84558,,,3.318323851,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
147,DecisionTree,gini,3,338230,84558,,,2.889981985,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
148,DecisionTree,entropy,3,338230,84558,,,3.317482948,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
149,DecisionTree,log_loss,3,338230,84558,,,3.330566883,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
150,DecisionTree,gini,3,338230,84558,,,2.905452251,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
151,DecisionTree,entropy,3,338230,84558,,,3.302232265,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
152,DecisionTree,log_loss,3,338230,84558,,,3.325754881,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
153,DecisionTree,gini,3,338230,84558,,,2.912959099,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
154,DecisionTree,entropy,3,338230,84558,,,3.321895123,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
155,DecisionTree,log_loss,3,338230,84558,,,3.365115404,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
156,DecisionTree,gini,3,338230,84558,,,2.899355412,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
157,DecisionTree,entropy,3,338230,84558,,,3.352582693,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
158,DecisionTree,log_loss,3,338230,84558,,,3.32362771,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
159,DecisionTree,gini,3,338230,84558,,,2.867332697,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
160,DecisionTree,entropy,3,338230,84558,,,3.308147192,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
161,DecisionTree,log_loss,3,338230,84558,,,3.354930639,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
